GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fcrepo-http-api,org.fcrepo.api.repository,FedoraRepositoryUnnamedObjects,7,0,0,0,3,0,2,0,2,0
fcrepo-http-api,org.fcrepo.api.repository,FedoraRepositoriesProperties,38,49,4,2,3,12,3,4,0,4
fcrepo-http-api,org.fcrepo.api.repository,FedoraRepositoryTransactions,3,0,0,0,1,0,1,0,1,0
fcrepo-http-api,org.fcrepo.api.repository,FedoraRepositoryExport,3,0,0,0,1,0,1,0,1,0
fcrepo-http-api,org.fcrepo.api.repository,FedoraRepositoryWorkspace,28,0,0,0,5,0,3,0,3,0
fcrepo-http-api,org.fcrepo.api.repository,FedoraRepositoryImport,3,0,0,0,1,0,1,0,1,0
fcrepo-http-api,org.fcrepo.api.repository,FedoraRepositoryNamespaces,16,38,0,0,2,9,1,3,1,3
fcrepo-http-api,org.fcrepo.api.repository,FedoraRepositoryIdentifiers,3,0,0,0,1,0,1,0,1,0
fcrepo-http-api,org.fcrepo.api,FedoraDatastreams,33,368,4,18,4,64,4,11,0,4
fcrepo-http-api,org.fcrepo.api,FedoraIdentifiers,0,82,0,4,0,14,0,4,0,2
fcrepo-http-api,org.fcrepo.api,FedoraFixity,6,30,0,0,0,5,0,2,0,2
fcrepo-http-api,org.fcrepo.api,FedoraFieldSearch,56,77,3,3,6,11,4,4,1,4
fcrepo-http-api,org.fcrepo.api,FedoraUnnamedObjects,24,81,1,1,1,12,1,3,0,3
fcrepo-http-api,org.fcrepo.api,FedoraExport,0,45,0,0,0,6,0,2,0,2
fcrepo-http-api,org.fcrepo.api,FedoraImport,6,55,0,0,0,9,0,2,0,2
fcrepo-http-api,org.fcrepo.api,FedoraTransactions,18,135,3,13,4,29,3,10,0,5
fcrepo-http-api,org.fcrepo.api,FedoraSitemap,115,63,6,2,22,10,6,4,3,3
fcrepo-http-api,org.fcrepo.api,FedoraVersions,25,103,1,1,1,19,1,5,0,5
fcrepo-http-api,org.fcrepo.api,FedoraExport.new StreamingOutput() {...},13,74,0,0,2,8,0,2,0,2
fcrepo-http-api,org.fcrepo.api,FedoraContent,67,226,6,8,8,40,5,6,0,4
fcrepo-http-api,org.fcrepo.api,FedoraNodes,136,237,10,8,11,52,9,7,0,7
fcrepo-http-api,org.fcrepo.provider,PathListProvider,3,0,0,0,1,0,1,0,1,0
fcrepo-http-api,org.fcrepo.url,HttpApiResources,0,198,0,6,0,28,0,9,0,6
fcrepo-http-api,org.fcrepo.responses,HtmlProvider,3,0,0,0,1,0,1,0,1,0
