GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fcrepo-http-commons,org.fcrepo.session,InjectableSession,28,45,1,1,5,13,1,3,0,3
fcrepo-http-commons,org.fcrepo.session,SessionFactory,33,209,6,22,11,53,8,18,2,10
fcrepo-http-commons,org.fcrepo.session,AuthenticatedSessionProviderImpl,6,22,0,2,2,5,0,3,0,2
fcrepo-http-commons,org.fcrepo.session,SessionProvider,0,33,0,0,0,11,0,6,0,6
fcrepo-http-commons,org.fcrepo.api.rdf,HttpGraphSubjects,100,212,14,22,15,44,13,14,2,7
fcrepo-http-commons,org.fcrepo.api.rdf,QuadOrdering,0,52,0,4,0,10,0,4,0,2
fcrepo-http-commons,org.fcrepo.api.rdf,HttpTripleUtil,0,55,0,2,0,14,0,6,0,5
fcrepo-http-commons,org.fcrepo.jaxb.responses.sitemap,SitemapUrlSet,17,0,0,0,6,0,3,0,3,0
fcrepo-http-commons,org.fcrepo.jaxb.responses.sitemap,SitemapEntry,27,0,0,0,12,0,3,0,3,0
fcrepo-http-commons,org.fcrepo.jaxb.responses.sitemap,SitemapIndex,17,0,0,0,6,0,3,0,3,0
fcrepo-http-commons,org.fcrepo.exceptionhandlers,RepositoryExceptionMapper,28,0,2,0,5,0,3,0,2,0
fcrepo-http-commons,org.fcrepo.exceptionhandlers,PathNotFoundExceptionMapper,0,15,0,0,0,4,0,3,0,3
fcrepo-http-commons,org.fcrepo.exceptionhandlers,AccessControlExceptionMapper,0,15,0,0,0,4,0,3,0,3
fcrepo-http-commons,org.fcrepo.exceptionhandlers,TransactionMissingExceptionMapper,7,0,0,0,2,0,2,0,2,0
fcrepo-http-commons,org.fcrepo.exceptionhandlers,WildcardExceptionMapper,20,36,2,4,5,7,3,4,1,3
fcrepo-http-commons,org.fcrepo,AbstractResource,85,89,20,14,13,24,13,11,2,4
fcrepo-http-commons,org.fcrepo.http,RDFMediaType,3,169,0,0,1,10,1,1,1,1
fcrepo-http-commons,org.fcrepo.responses,RdfSerializationUtils,38,121,3,5,9,28,4,6,1,5
fcrepo-http-commons,org.fcrepo.responses,BaseHtmlProvider,190,196,14,10,36,44,9,12,1,8
fcrepo-http-commons,org.fcrepo.responses,RdfProvider,0,57,1,7,0,10,1,8,0,5
fcrepo-http-commons,org.fcrepo.responses,GraphStoreStreamingOutput,0,42,0,0,0,12,0,4,0,4
fcrepo-http-commons,org.fcrepo.responses,ViewHelpers,4,286,0,22,1,56,1,22,1,11
