GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fcrepo-kernel,org.fcrepo.services.functions,CacheLocalTransform,11,47,1,1,0,11,1,4,0,4
fcrepo-kernel,org.fcrepo.services.functions,CheckCacheEntryFixity,16,42,0,0,6,12,1,5,1,5
fcrepo-kernel,org.fcrepo.services.functions,GetBinaryKey,5,14,1,1,2,3,1,2,0,2
fcrepo-kernel,org.fcrepo.services.functions,GetCacheStore,1,17,1,1,0,3,1,2,0,2
fcrepo-kernel,org.fcrepo.services.functions,GetClusterConfiguration,21,104,4,6,6,22,4,4,0,3
fcrepo-kernel,org.fcrepo.exception,InvalidChecksumException,4,0,0,0,2,0,1,0,1,0
fcrepo-kernel,org.fcrepo.exception,TransactionMissingException,0,4,0,0,0,2,0,1,0,1
fcrepo-kernel,org.modeshape.jcr,GetBinaryStore,26,11,6,2,6,1,4,3,1,2
fcrepo-kernel,org.fcrepo.identifiers,UUIDPathMinter,11,59,0,0,2,10,1,3,1,3
fcrepo-kernel,org.fcrepo.identifiers,BasePidMinter.new Function() {...},10,0,0,0,2,0,2,0,2,0
fcrepo-kernel,org.fcrepo.identifiers,UUIDPidMinter,6,26,0,0,0,5,0,3,0,3
fcrepo-kernel,org.fcrepo.identifiers,BasePidMinter,5,3,0,0,1,1,1,1,1,1
fcrepo-kernel,org.fcrepo.utils.impl,LocalBinaryStoreEntry,6,117,4,10,1,17,4,11,1,7
fcrepo-kernel,org.fcrepo.utils.impl,CacheStoreEntry,65,155,15,11,12,23,15,8,3,7
fcrepo-kernel,org.fcrepo.utils.impl,ChainingCacheStoreEntry,91,0,10,0,23,0,10,0,5,0
fcrepo-kernel,org.fcrepo.services,DatastreamService.new Predicate() {...},0,19,0,0,0,2,0,2,0,2
fcrepo-kernel,org.fcrepo.services,LowLevelStorageService.Unroll,28,6,2,0,7,3,2,1,1,1
