GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fcrepo-auth-oauth,org.fcrepo.auth.oauth.filter,OAuthFilter,49,118,5,1,13,32,5,8,2,8
fcrepo-auth-oauth,org.fcrepo.auth.oauth.filter,OAuthFilter.new HttpServletRequestWrapper() {...},9,13,2,0,1,2,2,2,1,2
fcrepo-auth-oauth,org.fcrepo.auth.oauth.filter,RestrictToAuthNFilter,32,40,3,1,10,12,4,4,2,4
fcrepo-auth-oauth,org.fcrepo.auth.oauth,Constants,4,0,0,0,1,0,1,0,1,0
fcrepo-auth-oauth,org.fcrepo.auth.oauth,Decision.new OAuthClient() {...},0,12,0,0,0,2,0,2,0,2
fcrepo-auth-oauth,org.fcrepo.auth.oauth,Decision.new Principal() {...},0,12,0,0,0,2,0,2,0,2
fcrepo-auth-oauth,org.fcrepo.auth.oauth,DefaultOAuthResourceProvider,16,71,1,1,4,14,1,4,0,4
fcrepo-auth-oauth,org.fcrepo.auth.oauth,Decision,7,23,0,0,3,6,2,3,2,3
fcrepo-auth-oauth,org.fcrepo.auth.oauth.api,AuthzEndpoint,51,124,4,2,10,29,3,5,0,5
fcrepo-auth-oauth,org.fcrepo.auth.oauth.api,Util,8,18,0,2,1,6,1,2,1,1
fcrepo-auth-oauth,org.fcrepo.auth.oauth.api,TokenEndpoint,134,168,8,8,18,38,7,8,0,7
