GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fcrepo-auth-oauth,org.fcrepo.auth.oauth.filter,OAuthFilter,167,0,6,0,45,0,13,0,10,0
fcrepo-auth-oauth,org.fcrepo.auth.oauth.filter,OAuthFilter.new HttpServletRequestWrapper() {...},22,0,2,0,3,0,4,0,3,0
fcrepo-auth-oauth,org.fcrepo.auth.oauth.filter,RestrictToAuthNFilter,72,0,4,0,22,0,8,0,6,0
fcrepo-auth-oauth,org.fcrepo.auth.oauth,Constants,4,0,0,0,1,0,1,0,1,0
fcrepo-auth-oauth,org.fcrepo.auth.oauth,Decision.new OAuthClient() {...},12,0,0,0,2,0,2,0,2,0
fcrepo-auth-oauth,org.fcrepo.auth.oauth,Decision.new Principal() {...},12,0,0,0,2,0,2,0,2,0
fcrepo-auth-oauth,org.fcrepo.auth.oauth,DefaultOAuthResourceProvider,87,0,2,0,18,0,5,0,4,0
fcrepo-auth-oauth,org.fcrepo.auth.oauth,Decision,30,0,0,0,9,0,5,0,5,0
fcrepo-auth-oauth,org.fcrepo.auth.oauth.api,AuthzEndpoint,175,0,6,0,39,0,8,0,5,0
fcrepo-auth-oauth,org.fcrepo.auth.oauth.api,Util,26,0,2,0,7,0,3,0,2,0
fcrepo-auth-oauth,org.fcrepo.auth.oauth.api,TokenEndpoint,302,0,16,0,56,0,15,0,7,0
