GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fcrepo-http-api,org.fcrepo.api.repository,FedoraRepositoryUnnamedObjects,3,0,0,0,1,0,1,0,1,0
fcrepo-http-api,org.fcrepo.api.repository,FedoraRepositoriesProperties,39,45,2,2,4,9,2,3,0,3
fcrepo-http-api,org.fcrepo.api.repository,FedoraRepositoryTransactions,3,0,0,0,1,0,1,0,1,0
fcrepo-http-api,org.fcrepo.api.repository,FedoraRepositoryExport,3,0,0,0,1,0,1,0,1,0
fcrepo-http-api,org.fcrepo.api.repository,FedoraRepositoryWorkspace,28,0,0,0,5,0,3,0,3,0
fcrepo-http-api,org.fcrepo.api.repository,FedoraRepositoryImport,3,0,0,0,1,0,1,0,1,0
fcrepo-http-api,org.fcrepo.api.repository,FedoraRepositoryNamespaces,12,38,0,0,0,9,0,3,0,3
fcrepo-http-api,org.fcrepo.api.repository,FedoraRepositoryIdentifiers,3,0,0,0,1,0,1,0,1,0
fcrepo-http-api,org.fcrepo.api,FedoraDatastreams,33,368,4,18,4,64,4,11,0,4
fcrepo-http-api,org.fcrepo.api,FedoraIdentifiers,0,82,0,4,0,14,0,4,0,2
fcrepo-http-api,org.fcrepo.api,FedoraFixity,6,30,0,0,0,5,0,2,0,2
fcrepo-http-api,org.fcrepo.api,FedoraFieldSearch,56,77,3,3,6,11,4,4,1,4
fcrepo-http-api,org.fcrepo.api,FedoraUnnamedObjects,34,84,4,2,2,14,3,3,0,3
fcrepo-http-api,org.fcrepo.api,FedoraExport,0,45,0,0,0,6,0,2,0,2
fcrepo-http-api,org.fcrepo.api,FedoraImport,6,55,0,0,0,9,0,2,0,2
fcrepo-http-api,org.fcrepo.api,FedoraTransactions,18,135,3,13,4,29,3,10,0,5
fcrepo-http-api,org.fcrepo.api,FedoraSitemap,115,63,6,2,22,10,6,4,3,3
fcrepo-http-api,org.fcrepo.api,FedoraVersions,25,103,1,1,1,19,1,5,0,5
fcrepo-http-api,org.fcrepo.api,FedoraExport.new StreamingOutput() {...},13,74,0,0,2,8,0,2,0,2
fcrepo-http-api,org.fcrepo.api,FedoraContent,77,229,9,9,9,42,7,6,0,4
fcrepo-http-api,org.fcrepo.api,FedoraNodes,142,246,11,9,12,54,10,7,0,7
fcrepo-http-api,org.fcrepo.url,HttpApiResources,0,194,0,6,0,26,0,8,0,5
fcrepo-http-api,org.fcrepo.responses,HtmlProvider,3,0,0,0,1,0,1,0,1,0
