GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fcrepo-kernel,org.fcrepo.rdf,SerializationUtils,72,0,4,0,22,0,7,0,5,0
fcrepo-kernel,org.fcrepo.rdf,GraphProperties,0,4,0,0,0,1,0,1,0,1
fcrepo-kernel,org.fcrepo.services.functions,CacheLocalTransform,9,49,1,1,0,11,1,4,0,4
fcrepo-kernel,org.fcrepo.services.functions,CheckCacheEntryFixity,22,36,0,0,8,10,3,3,3,3
fcrepo-kernel,org.fcrepo.services.functions,GetBinaryKey,5,14,1,1,2,3,1,2,0,2
fcrepo-kernel,org.fcrepo.services.functions,GetCacheStore,1,17,1,1,0,3,1,2,0,2
fcrepo-kernel,org.fcrepo.services.functions,GetClusterConfiguration,93,32,8,2,20,8,5,3,0,3
fcrepo-kernel,org.modeshape.jcr,GetBinaryStore,11,26,4,4,2,5,4,3,0,3
fcrepo-kernel,org.fcrepo.exception,InvalidChecksumException,4,0,0,0,2,0,1,0,1,0
fcrepo-kernel,org.fcrepo.exception,TransactionMissingException,4,0,0,0,2,0,1,0,1,0
fcrepo-kernel,org.fcrepo.identifiers,UUIDPathMinter,70,0,0,0,12,0,4,0,4,0
fcrepo-kernel,org.fcrepo.identifiers,BasePidMinter.new Function() {...},10,0,0,0,2,0,2,0,2,0
fcrepo-kernel,org.fcrepo.identifiers,UUIDPidMinter,32,0,0,0,5,0,3,0,3,0
fcrepo-kernel,org.fcrepo.identifiers,BasePidMinter,8,0,0,0,2,0,2,0,2,0
fcrepo-kernel,org.fcrepo.utils.impl,LocalBinaryStoreEntry,36,87,8,6,6,12,9,6,2,6
fcrepo-kernel,org.fcrepo.utils.impl,CacheStoreEntry,43,177,13,13,5,30,12,11,0,10
fcrepo-kernel,org.fcrepo.utils.impl,ChainingCacheStoreEntry,18,73,4,6,5,18,7,3,3,2
fcrepo-kernel,org.fcrepo.services,DatastreamService.new Predicate() {...},0,19,0,0,0,2,0,2,0,2
fcrepo-kernel,org.fcrepo.services,LowLevelStorageService.Unroll,8,26,1,1,1,9,1,2,0,2
fcrepo-kernel,org.fcrepo.services,LowLevelStorageService.ExternalIdDecorator,18,0,0,0,6,0,2,0,2,0
fcrepo-kernel,org.fcrepo.services,LowLevelStorageService,200,200,15,17,54,48,16,17,5,12
fcrepo-kernel,org.fcrepo.services,NodeService,87,22,10,0,21,4,9,4,4,4
fcrepo-kernel,org.fcrepo.services,RepositoryService.new Function() {...},17,0,0,0,5,0,2,0,2,0
fcrepo-kernel,org.fcrepo.services,TransactionService,125,11,10,0,31,3,11,2,6,2
fcrepo-kernel,org.fcrepo.services,DatastreamService,85,197,3,5,18,40,6,11,3,10
fcrepo-kernel,org.fcrepo.services,LowLevelStorageService.Echo,0,5,0,0,0,2,0,2,0,2
fcrepo-kernel,org.fcrepo.services,ServiceHelpers,45,95,5,9,9,18,6,9,3,5
fcrepo-kernel,org.fcrepo.services,ObjectService,0,30,0,0,0,6,0,5,0,5
fcrepo-kernel,org.fcrepo.services,RepositoryService,169,55,4,0,35,13,7,5,5,5
fcrepo-kernel,org.fcrepo.observer,DefaultFilter,4,34,0,4,2,9,0,6,0,4
fcrepo-kernel,org.fcrepo.observer,SimpleObserver,0,82,0,2,0,15,0,5,0,4
fcrepo-kernel,org.fcrepo.observer,NOOPFilter,5,0,0,0,2,0,2,0,2,0
fcrepo-kernel,org.fcrepo.observer,FedoraEvent,29,12,1,1,7,4,8,1,7,1
fcrepo-kernel,org.fcrepo,Datastream,125,224,9,15,23,51,12,16,5,11
fcrepo-kernel,org.fcrepo,TxAwareSession,67,0,8,0,12,0,7,0,3,0
fcrepo-kernel,org.fcrepo,Transaction,97,0,6,0,32,0,13,0,10,0
fcrepo-kernel,org.fcrepo,RdfLexicon,3,146,0,0,2,48,1,1,1,1
fcrepo-kernel,org.fcrepo,FedoraObject,28,55,1,3,5,13,3,6,2,5
fcrepo-kernel,org.fcrepo,FedoraResource,67,177,7,7,18,41,10,18,5,16
fcrepo-kernel,org.fcrepo,Transaction.State,58,0,0,0,2,0,4,0,4,0
fcrepo-kernel,org.fcrepo.spring,ModeShapeRepositoryFactoryBean,0,41,1,1,0,11,1,7,0,7
fcrepo-kernel,org.fcrepo.utils,FixityResult.FixityState,5,53,0,0,0,2,1,3,1,3
fcrepo-kernel,org.fcrepo.utils,EventIterator,4,16,0,0,2,6,1,4,1,4
fcrepo-kernel,org.fcrepo.utils,EventType,149,0,16,0,22,0,20,0,6,0
fcrepo-kernel,org.fcrepo.utils,FixityResult,24,114,3,9,8,20,7,13,4,10
fcrepo-kernel,org.fcrepo.utils,FixityInputStream,0,13,0,0,0,3,0,2,0,2
fcrepo-kernel,org.fcrepo.utils,NodeIterator,21,0,0,0,8,0,5,0,5,0
fcrepo-kernel,org.fcrepo.utils,NamespaceTools,3,14,0,0,1,3,1,3,1,3
fcrepo-kernel,org.fcrepo.utils,NamespaceTools.new Function() {...},19,3,2,0,4,1,2,1,1,1
fcrepo-kernel,org.fcrepo.utils,LowLevelCacheEntry,32,88,0,8,10,22,1,9,1,5
fcrepo-kernel,org.fcrepo.utils,NodePropertiesTools,79,180,10,16,11,38,10,9,1,5
fcrepo-kernel,org.fcrepo.utils,FedoraTypesUtils.new Function() {...},16,3,2,0,4,1,2,1,1,1
fcrepo-kernel,org.fcrepo.utils,NamespaceChangedStatementListener,47,43,5,1,15,12,4,3,1,3
fcrepo-kernel,org.fcrepo.utils,FedoraTypesUtils.new Function() {...},1,12,1,1,0,3,1,2,0,2
fcrepo-kernel,org.fcrepo.utils,FedoraTypesUtils.new Predicate() {...},5,22,2,4,2,4,2,3,0,2
fcrepo-kernel,org.fcrepo.utils,FedoraTypesUtils.new Predicate() {...},5,12,1,1,2,3,1,2,0,2
fcrepo-kernel,org.fcrepo.utils,FedoraTypesUtils.new Predicate() {...},7,16,1,1,2,3,1,2,0,2
fcrepo-kernel,org.fcrepo.utils,FedoraTypesUtils.new Predicate() {...},7,16,1,1,2,3,1,2,0,2
fcrepo-kernel,org.fcrepo.utils,FedoraTypesUtils.new Predicate() {...},7,16,1,1,2,3,1,2,0,2
fcrepo-kernel,org.fcrepo.utils,FedoraTypesUtils.new Function() {...},8,22,1,1,3,6,1,2,0,2
fcrepo-kernel,org.fcrepo.utils,FedoraTypesUtils.new Function() {...},7,13,1,1,2,3,1,2,0,2
fcrepo-kernel,org.fcrepo.utils,ContentDigest,11,55,0,0,4,8,1,5,1,5
fcrepo-kernel,org.fcrepo.utils,EventType.new Object() {...},54,0,0,0,1,0,1,0,1,0
fcrepo-kernel,org.fcrepo.utils,FedoraTypesUtils,52,182,6,8,10,40,7,13,3,10
fcrepo-kernel,org.fcrepo.utils,PropertyIterator,20,0,0,0,8,0,5,0,5,0
fcrepo-kernel,org.fcrepo.utils,JcrRdfTools,299,843,55,96,51,181,51,53,5,20
fcrepo-kernel,org.fcrepo.utils,JcrPropertyStatementListener,39,127,6,8,9,31,7,8,1,7
fcrepo-kernel,org.fcrepo.utils.infinispan,StoreChunkInputStream,76,194,14,18,18,40,10,13,1,6
fcrepo-kernel,org.fcrepo.utils.infinispan,StoreChunkOutputStream,50,133,5,5,13,28,6,5,2,4
fcrepo-kernel,org.fcrepo.rdf.impl,JcrGraphProperties,9,56,0,0,2,15,2,2,2,2
fcrepo-kernel,org.fcrepo.rdf.impl,DefaultGraphSubjects,18,85,8,12,3,13,8,8,0,6
