GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fcrepo-http-api,org.fcrepo.http.api,FedoraFixity,0,28,0,0,0,4,0,2,0,2
fcrepo-http-api,org.fcrepo.http.api,FedoraImport,6,53,0,0,0,9,0,3,0,3
fcrepo-http-api,org.fcrepo.http.api,FedoraIdentifiers.new Function() {...},11,24,1,1,0,2,1,2,0,2
fcrepo-http-api,org.fcrepo.http.api,FedoraContent,68,449,15,27,8,78,12,14,0,5
fcrepo-http-api,org.fcrepo.http.api,FedoraBatch,84,560,17,43,10,106,15,22,0,5
fcrepo-http-api,org.fcrepo.http.api,FedoraSitemap,22,158,2,6,2,31,2,8,0,6
fcrepo-http-api,org.fcrepo.http.api,FedoraIdentifiers.new Function() {...},4,25,0,0,2,3,0,2,0,2
fcrepo-http-api,org.fcrepo.http.api,FedoraVersions,6,125,0,4,0,21,0,10,0,8
fcrepo-http-api,org.fcrepo.http.api,FedoraTransactions,35,114,6,8,8,23,6,7,0,6
fcrepo-http-api,org.fcrepo.http.api,FedoraNodes,202,920,25,65,22,167,24,32,0,10
fcrepo-http-api,org.fcrepo.http.api,FedoraIdentifiers,0,62,0,0,0,8,0,4,0,4
fcrepo-http-api,org.fcrepo.http.api,FedoraExport,0,34,0,0,0,6,0,3,0,3
fcrepo-http-api,org.fcrepo.http.api,FedoraFieldSearch,291,0,8,0,34,0,9,0,5,0
fcrepo-http-api,org.fcrepo.http.api,FedoraExport.new StreamingOutput() {...},13,50,0,0,2,8,0,2,0,2
fcrepo-http-api,org.fcrepo.http.api.repository,FedoraRepositoryNodeTypes,6,27,0,0,0,5,0,3,0,3
fcrepo-http-api,org.fcrepo.http.api.repository,FedoraRepositoryExport,3,0,0,0,1,0,1,0,1,0
fcrepo-http-api,org.fcrepo.http.api.repository,FedoraRepositoryBackup,68,53,7,5,11,13,6,3,0,3
fcrepo-http-api,org.fcrepo.http.api.repository,FedoraRepositoryWorkspaces,14,91,1,3,1,15,1,5,0,4
fcrepo-http-api,org.fcrepo.http.api.repository,FedoraRepositoriesProperties,84,0,4,0,13,0,5,0,3,0
fcrepo-http-api,org.fcrepo.http.api.repository,FedoraRepositoryNamespaces,6,34,0,0,0,7,0,3,0,3
fcrepo-http-api,org.fcrepo.http.api.repository,FedoraRepositoryRestore,66,40,5,3,9,10,4,3,0,3
fcrepo-http-api,org.fcrepo.http.api.repository,FedoraRepositoryImport,0,3,0,0,0,1,0,1,0,1
fcrepo-http-api,org.fcrepo.http.api.repository,FedoraRepositoryTransactions,0,3,0,0,0,1,0,1,0,1
fcrepo-http-api,org.fcrepo.http.api.repository,FedoraRepositoryIdentifiers,0,3,0,0,0,1,0,1,0,1
fcrepo-http-api,org.fcrepo.http.api.url,HttpApiResources,0,201,0,6,0,27,0,8,0,5
fcrepo-http-api,org.fcrepo.http.api.responses,StreamingHtmlProvider,0,3,0,0,0,1,0,1,0,1
fcrepo-http-api,org.fcrepo.http.api.responses,HtmlProvider,0,3,0,0,0,1,0,1,0,1
