GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora Repository OAuth 2.0 Module,org.fcrepo.auth.oauth.impl,DefaultTokenRequestValidations,49,90,9,7,7,20,8,6,0,6
Fedora Repository OAuth 2.0 Module,org.fcrepo.auth.oauth.filter,OAuthFilter,49,119,5,1,13,32,5,8,2,8
Fedora Repository OAuth 2.0 Module,org.fcrepo.auth.oauth.filter,RestrictToAuthNFilter,32,40,3,1,10,12,4,4,2,4
Fedora Repository OAuth 2.0 Module,org.fcrepo.auth.oauth,Decision.new OAuthClient() {...},0,12,0,0,0,2,0,2,0,2
Fedora Repository OAuth 2.0 Module,org.fcrepo.auth.oauth,Decision.new Principal() {...},3,9,0,0,1,1,1,1,1,1
Fedora Repository OAuth 2.0 Module,org.fcrepo.auth.oauth,DefaultOAuthResourceProvider,23,70,2,2,6,15,2,4,0,4
Fedora Repository OAuth 2.0 Module,org.fcrepo.auth.oauth,Decision,10,20,0,0,4,5,3,2,3,2
Fedora Repository OAuth 2.0 Module,org.fcrepo.auth.oauth.api,AuthzEndpoint,82,152,7,5,15,37,6,5,0,5
Fedora Repository OAuth 2.0 Module,org.fcrepo.auth.oauth.api,Util,8,18,0,2,1,6,1,2,1,1
Fedora Repository OAuth 2.0 Module,org.fcrepo.auth.oauth.api,TokenEndpoint,111,137,8,8,14,30,7,7,0,6
