GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora Repository Kernel,org.modeshape.jcr,GetBinaryStore,0,14,0,0,0,4,0,2,0,2
Fedora Repository Kernel,org.fcrepo.kernel,TransactionImpl,153,0,16,0,47,0,20,0,12,0
Fedora Repository Kernel,org.fcrepo.kernel,DatastreamImpl,117,248,17,17,19,60,19,15,6,11
Fedora Repository Kernel,org.fcrepo.kernel,FedoraResourceImpl,130,240,9,7,25,48,13,19,6,18
Fedora Repository Kernel,org.fcrepo.kernel,FedoraObjectImpl,38,52,4,4,7,13,6,5,3,4
Fedora Repository Kernel,org.fcrepo.kernel,TxAwareSession,67,0,8,0,12,0,7,0,3,0
Fedora Repository Kernel,org.fcrepo.kernel.services,RepositoryServiceImpl,149,76,6,0,30,17,7,6,4,6
Fedora Repository Kernel,org.fcrepo.kernel.services,LowLevelStorageService.Unroll,6,25,1,1,1,8,1,2,0,2
Fedora Repository Kernel,org.fcrepo.kernel.services,LowLevelStorageService.Echo,0,5,0,0,0,2,0,2,0,2
Fedora Repository Kernel,org.fcrepo.kernel.services,DatastreamServiceImpl.new Predicate() {...},0,19,0,0,0,2,0,2,0,2
Fedora Repository Kernel,org.fcrepo.kernel.services,ObjectServiceImpl,0,30,0,0,0,6,0,5,0,5
Fedora Repository Kernel,org.fcrepo.kernel.services,ServiceHelpers,50,156,5,11,9,35,6,12,3,7
Fedora Repository Kernel,org.fcrepo.kernel.services,LowLevelStorageService,115,156,6,8,34,35,9,15,5,12
Fedora Repository Kernel,org.fcrepo.kernel.services,RepositoryServiceImpl.new Function() {...},18,0,0,0,4,0,2,0,2,0
Fedora Repository Kernel,org.fcrepo.kernel.services,AbstractService,4,7,0,0,1,3,1,2,1,2
Fedora Repository Kernel,org.fcrepo.kernel.services,TransactionServiceImpl,189,11,18,0,51,3,19,2,10,2
Fedora Repository Kernel,org.fcrepo.kernel.services,DatastreamServiceImpl,82,226,3,7,13,45,6,13,3,11
Fedora Repository Kernel,org.fcrepo.kernel.services,VersionServiceImpl,144,7,14,0,43,2,17,2,10,2
Fedora Repository Kernel,org.fcrepo.kernel.services,NodeServiceImpl,125,22,10,0,31,4,14,4,9,4
Fedora Repository Kernel,org.fcrepo.kernel.services,LowLevelStorageService.ExternalIdDecorator,18,0,0,0,6,0,2,0,2,0
Fedora Repository Kernel,org.fcrepo.kernel.identifiers,BasePidMinter.new Function() {...},10,0,0,0,2,0,2,0,2,0
Fedora Repository Kernel,org.fcrepo.kernel.identifiers,UUIDPathMinter,70,0,0,0,12,0,4,0,4,0
Fedora Repository Kernel,org.fcrepo.kernel.identifiers,BasePidMinter,8,0,0,0,2,0,2,0,2,0
Fedora Repository Kernel,org.fcrepo.kernel.identifiers,UUIDPidMinter,32,0,0,0,5,0,3,0,3,0
Fedora Repository Kernel,org.fcrepo.kernel.spring,DefaultPropertiesLoader,95,42,9,3,13,10,7,4,2,3
Fedora Repository Kernel,org.fcrepo.kernel.spring,DefaultPropertiesLoader.PROPERTIES,5,129,0,0,0,15,1,4,1,4
Fedora Repository Kernel,org.fcrepo.kernel.spring,ModeShapeRepositoryFactoryBean,0,56,2,2,0,15,2,8,0,8
Fedora Repository Kernel,org.fcrepo.kernel.utils.iterators,PersistingRdfStreamConsumer,258,0,14,0,61,0,19,0,12,0
Fedora Repository Kernel,org.fcrepo.kernel.utils.iterators,RdfAdder,109,0,4,0,17,0,6,0,4,0
Fedora Repository Kernel,org.fcrepo.kernel.utils.iterators,RdfRemover,82,0,4,0,19,0,6,0,4,0
Fedora Repository Kernel,org.fcrepo.kernel.utils.iterators,PersistingRdfStreamConsumer.new Predicate() {...},30,0,2,0,6,0,3,0,2,0
Fedora Repository Kernel,org.fcrepo.kernel.rdf.impl,FixityRdfContext.new Function() {...},128,0,2,0,19,0,3,0,2,0
Fedora Repository Kernel,org.fcrepo.kernel.rdf.impl,VersionsRdfContext,0,50,0,0,0,10,0,2,0,2
Fedora Repository Kernel,org.fcrepo.kernel.rdf.impl,HierarchyRdfContext,3,204,1,5,1,22,1,8,0,6
Fedora Repository Kernel,org.fcrepo.kernel.rdf.impl,PropertiesRdfContext,5,172,1,7,2,26,1,7,0,4
Fedora Repository Kernel,org.fcrepo.kernel.rdf.impl,NodeTypeRdfContext.new Function() {...},34,0,0,0,6,0,2,0,2,0
Fedora Repository Kernel,org.fcrepo.kernel.rdf.impl,NodeTypeRdfContext.new Predicate() {...},8,0,0,0,2,0,2,0,2,0
Fedora Repository Kernel,org.fcrepo.kernel.rdf.impl,HierarchyRdfContext.new Predicate() {...},4,20,0,4,2,3,0,4,0,2
