GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.spring,ModeShapeRepositoryFactoryBean,0,56,2,2,0,15,2,8,0,8
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.spring,DefaultPropertiesLoader,93,42,9,3,13,10,7,4,2,3
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.spring,DefaultPropertiesLoader.PROPERTIES,5,129,0,0,0,15,1,4,1,4
Fedora Repository Kernel Implementation,org.modeshape.jcr,GetBinaryStore,0,14,0,0,0,4,0,2,0,2
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.utils.infinispan,StoreChunkOutputStream,167,0,10,0,41,0,12,0,7,0
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.utils.infinispan,StoreChunkInputStream,109,147,20,12,24,35,14,10,2,6
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.observer,DefaultFilter.new Object() {...},1,11,0,0,0,1,0,1,0,1
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.observer,SimpleObserver,11,95,3,3,2,23,2,6,0,5
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.observer,NOOPFilter,7,0,0,0,3,0,3,0,3,0
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.observer,DefaultFilter,32,40,6,2,10,12,4,5,0,5
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.observer,NodeRemovalEventObserver,86,0,4,0,23,0,7,0,5,0
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl.mappings,PropertyToTriple.1.new Function() {...},0,15,0,0,0,2,0,2,0,2
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl.mappings,NodeDefinitionToTriples,66,0,4,0,14,0,5,0,3,0
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl.mappings,PropertyToTriple,28,100,4,6,8,22,4,12,0,8
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl.mappings,PropertyToTriple.new Function() {...},0,16,0,0,0,2,0,2,0,2
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl.mappings,ZippingIterator,0,51,1,5,0,13,1,5,0,3
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl.mappings,ItemDefinitionToTriples,83,0,0,0,13,0,6,0,6,0
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl.mappings,PropertyDefinitionToTriples,149,0,6,0,20,0,7,0,4,0
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.services.functions,GetBinaryKey,5,14,1,1,2,3,1,2,0,2
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.services.functions,GetDefaultWorkspace,17,0,4,0,6,0,4,0,2,0
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.services.functions,GetCacheStore,18,0,2,0,3,0,3,0,2,0
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.services.functions,GetClusterConfiguration,86,30,7,1,17,8,4,3,0,3
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf,SerializationUtils,85,0,4,0,23,0,7,0,5,0
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf,JcrRdfTools,269,348,46,50,43,70,51,29,14,17
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf,JcrRdfTools.new Function() {...},12,30,2,2,4,9,2,2,0,2
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf,JcrRdfTools.new Predicate() {...},1,10,1,1,0,2,1,2,0,2
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf,ManagedRdf,3,11,0,0,2,3,1,1,1,1
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf,ManagedRdf.new Predicate() {...},0,10,0,0,0,2,0,2,0,2
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf,ManagedRdf.new Predicate() {...},0,8,0,0,0,2,0,2,0,2
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl,NodeTypeRdfContext,135,0,2,0,20,0,5,0,4,0
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl,VersionsRdfContext.new Function() {...},4,70,0,2,2,8,0,3,0,2
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl,FixityRdfContext.new Function() {...},129,0,2,0,19,0,3,0,2,0
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl,FixityRdfContext,33,0,0,0,4,0,2,0,2,0
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl,NodeRdfContext,3,152,3,5,2,38,3,10,0,9
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl,WorkspaceRdfContext,98,0,4,0,15,0,4,0,2,0
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl,PropertiesRdfContext,5,148,1,7,2,24,1,7,0,4
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl,DefaultIdentifierTranslator,12,71,2,8,4,12,4,7,2,4
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl,HierarchyRdfContext,13,161,6,8,2,28,5,8,0,6
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl,RootRdfContext,80,159,8,14,5,29,8,5,0,2
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl,NamespaceRdfContext,0,105,0,6,0,21,0,5,0,2
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl,JcrGraphProperties,76,0,0,0,17,0,4,0,4,0
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl,HierarchyRdfContext.new Function() {...},4,79,2,2,2,10,2,2,0,2
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl,HierarchyRdfContext.new Predicate() {...},4,20,0,4,2,3,0,4,0,2
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl,VersionsRdfContext,0,48,0,0,0,9,0,2,0,2
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl,ReferencesRdfContext,0,72,0,0,0,13,0,4,0,4
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl,NodeTypeRdfContext.new Predicate() {...},8,0,0,0,2,0,2,0,2,0
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl,NodeTypeRdfContext.new Function() {...},34,0,0,0,6,0,2,0,2,0
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl,NodeRdfContext.new Function() {...},4,57,0,0,2,10,0,2,0,2
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.utils.impl,FileSystemBinaryStoreEntry,5,23,0,0,2,4,0,2,0,2
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.utils.impl,InfinispanCacheStoreEntry,161,0,18,0,38,0,15,0,6,0
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.utils.impl,CacheEntryFactory,42,58,8,8,9,15,8,5,1,4
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.utils.impl,DistributedFixityCheck,126,0,6,0,23,0,8,0,5,0
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.utils.impl,LocalBinaryStoreEntry,74,33,12,0,9,9,10,5,4,5
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.observer.eventmappings,AllNodeEventsOneEvent.new Function() {...},4,12,0,0,2,4,0,2,0,2
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.observer.eventmappings,AllNodeEventsOneEvent.new Iterator() {...},13,99,2,6,5,20,3,6,1,4
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.observer.eventmappings,AllNodeEventsOneEvent,0,17,0,0,0,4,0,3,0,3
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.observer.eventmappings,OneToOne.new Function() {...},11,0,0,0,2,0,2,0,2,0
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.observer.eventmappings,OneToOne,10,0,0,0,2,0,2,0,2,0
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.services,RepositoryServiceImpl,149,76,6,0,30,17,7,6,4,6
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.services,VersionServiceImpl,125,213,15,19,35,52,15,18,4,12
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.services,AbstractService,4,7,0,0,2,2,1,2,1,2
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.services,DatastreamServiceImpl,107,89,2,0,20,13,6,8,5,8
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.services,NodeServiceImpl,125,41,11,1,30,9,14,5,8,5
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.services,LockServiceImpl,73,3,4,0,11,2,5,1,3,1
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.services,TransactionServiceImpl,82,129,7,11,14,39,8,12,1,10
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.services,ExternalContentServiceImpl,21,3,0,0,6,1,2,1,2,1
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.services,DatastreamServiceImpl.new Predicate() {...},19,0,0,0,2,0,2,0,2,0
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.services,ServiceHelpers,59,141,5,11,10,33,7,10,4,5
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.services,LockServiceImpl.JCRLock,17,0,0,0,6,0,3,0,3,0
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.services,ObjectServiceImpl,0,30,0,0,0,6,0,5,0,5
