GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora Repository HTTP API Module,org.fcrepo.http.api,FedoraFixity,0,28,0,0,0,4,0,2,0,2
Fedora Repository HTTP API Module,org.fcrepo.http.api,FedoraImport,6,62,0,0,0,11,0,3,0,3
Fedora Repository HTTP API Module,org.fcrepo.http.api,FedoraIdentifiers.new Function() {...},11,21,1,1,0,2,1,2,0,2
Fedora Repository HTTP API Module,org.fcrepo.http.api,FedoraContent,45,261,4,8,6,46,3,8,0,5
Fedora Repository HTTP API Module,org.fcrepo.http.api,FedoraBatch,84,559,17,43,10,106,15,22,0,5
Fedora Repository HTTP API Module,org.fcrepo.http.api,ContentExposingResource,0,319,5,25,0,62,5,16,0,6
Fedora Repository HTTP API Module,org.fcrepo.http.api,FedoraIdentifiers.new Function() {...},4,22,0,0,2,3,0,2,0,2
Fedora Repository HTTP API Module,org.fcrepo.http.api,FedoraVersions,12,297,0,6,0,45,0,14,0,11
Fedora Repository HTTP API Module,org.fcrepo.http.api,FedoraTransactions,19,134,5,9,5,28,5,8,0,6
Fedora Repository HTTP API Module,org.fcrepo.http.api,FedoraLocks,6,201,0,2,0,30,0,8,0,7
Fedora Repository HTTP API Module,org.fcrepo.http.api,FedoraNodes,203,1501,36,102,29,267,35,56,2,19
Fedora Repository HTTP API Module,org.fcrepo.http.api,FedoraIdentifiers,0,58,0,0,0,8,0,4,0,4
Fedora Repository HTTP API Module,org.fcrepo.http.api,FedoraExport,0,36,0,0,0,6,0,3,0,3
Fedora Repository HTTP API Module,org.fcrepo.http.api,FedoraFieldSearch,53,240,1,7,3,31,1,8,0,5
Fedora Repository HTTP API Module,org.fcrepo.http.api,FedoraExport.new StreamingOutput() {...},13,62,0,0,2,8,0,2,0,2
Fedora Repository HTTP API Module,org.fcrepo.http.api.repository,FedoraRepositoryNodeTypes,8,46,1,1,1,8,1,3,0,3
Fedora Repository HTTP API Module,org.fcrepo.http.api.repository,FedoraRepositoryExport,3,0,0,0,1,0,1,0,1,0
Fedora Repository HTTP API Module,org.fcrepo.http.api.repository,FedoraRepositoryBackup,68,53,7,5,11,13,6,3,0,3
Fedora Repository HTTP API Module,org.fcrepo.http.api.repository,FedoraRepositorySitemap,22,158,2,6,2,31,2,8,0,6
Fedora Repository HTTP API Module,org.fcrepo.http.api.repository,FedoraRepositoryWorkspaces,8,116,2,6,1,18,2,6,0,4
Fedora Repository HTTP API Module,org.fcrepo.http.api.repository,FedoraRepositoriesProperties,84,0,4,0,13,0,5,0,3,0
Fedora Repository HTTP API Module,org.fcrepo.http.api.repository,FedoraRepositoryNamespaces,6,67,0,0,0,11,0,3,0,3
Fedora Repository HTTP API Module,org.fcrepo.http.api.repository,FedoraRepositoryRestore,66,40,5,3,9,10,4,3,0,3
Fedora Repository HTTP API Module,org.fcrepo.http.api.repository,FedoraRepositoryImport,0,3,0,0,0,1,0,1,0,1
Fedora Repository HTTP API Module,org.fcrepo.http.api.repository,FedoraRepositoryTransactions,0,3,0,0,0,1,0,1,0,1
Fedora Repository HTTP API Module,org.fcrepo.http.api.repository,FedoraRepositoryIdentifiers,0,3,0,0,0,1,0,1,0,1
Fedora Repository HTTP API Module,org.fcrepo.http.api.versioning,VersionAwareHttpIdentifierTranslator,76,259,10,16,14,48,8,13,0,8
Fedora Repository HTTP API Module,org.fcrepo.http.api.url,HttpApiResources,0,265,0,12,0,34,0,11,0,5
Fedora Repository HTTP API Module,org.fcrepo.http.api.responses,StreamingHtmlProvider,0,3,0,0,0,1,0,1,0,1
Fedora Repository HTTP API Module,org.fcrepo.http.api.responses,StreamingBaseHtmlProvider,6,72,0,2,2,17,0,8,0,7
Fedora Repository HTTP API Module,org.fcrepo.http.api.responses,HtmlProvider,0,3,0,0,0,1,0,1,0,1
Fedora Repository HTTP API Module,org.fcrepo.http.api.responses,BaseHtmlProvider,35,383,8,20,0,84,6,16,0,8
