GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora Repository RDF Transformations Module,org.fcrepo.transform.http.responses,QueryExecutionProvider,35,30,2,6,8,4,4,5,2,3
Fedora Repository RDF Transformations Module,org.fcrepo.transform.http.responses,ResultSetStreamingOutput,119,68,48,12,9,16,36,10,0,4
Fedora Repository RDF Transformations Module,org.fcrepo.transform.sparql,JQLResultSet.JQLQuerySolution.new Function() {...},9,0,0,0,2,0,2,0,2,0
Fedora Repository RDF Transformations Module,org.fcrepo.transform.sparql,JQLQueryVisitor,478,1319,67,111,105,272,83,74,23,35
Fedora Repository RDF Transformations Module,org.fcrepo.transform.sparql,JQLResultSet.JQLQuerySolution,93,52,8,3,24,11,15,6,8,4
Fedora Repository RDF Transformations Module,org.fcrepo.transform.sparql,SparqlServiceDescription,0,149,0,0,0,23,0,2,0,2
Fedora Repository RDF Transformations Module,org.fcrepo.transform.sparql,JQLConverter,0,66,0,0,0,15,0,5,0,5
Fedora Repository RDF Transformations Module,org.fcrepo.transform.sparql,JQLResultSet,19,63,0,0,7,15,5,6,5,6
Fedora Repository RDF Transformations Module,org.fcrepo.transform.exception,JQLParsingException,4,0,0,0,2,0,1,0,1,0
Fedora Repository RDF Transformations Module,org.fcrepo.transform.http,FedoraSparql.new StreamingOutput() {...},0,26,0,0,0,5,0,2,0,2
Fedora Repository RDF Transformations Module,org.fcrepo.transform.http,FedoraSparql.new StreamingOutput() {...},0,34,0,0,0,5,0,2,0,2
Fedora Repository RDF Transformations Module,org.fcrepo.transform.http,FedoraTransform,17,134,1,3,0,26,1,6,0,5
Fedora Repository RDF Transformations Module,org.fcrepo.transform.http,TransformResources,31,3,2,0,5,1,2,1,1,1
Fedora Repository RDF Transformations Module,org.fcrepo.transform.http,FedoraSparql,32,211,8,6,1,39,6,8,0,7
Fedora Repository RDF Transformations Module,org.fcrepo.transform,TransformationFactory,14,43,1,1,1,8,1,2,0,2
Fedora Repository RDF Transformations Module,org.fcrepo.transform.transformations,LDPathTransform.new Function() {...},0,5,0,0,0,2,0,2,0,2
Fedora Repository RDF Transformations Module,org.fcrepo.transform.transformations,LDPathTransform.new Function() {...},0,7,0,0,0,2,0,2,0,2
Fedora Repository RDF Transformations Module,org.fcrepo.transform.transformations,SparqlQueryTransform,32,18,4,0,6,6,6,2,4,2
Fedora Repository RDF Transformations Module,org.fcrepo.transform.transformations,LDPathTransform,48,161,5,5,6,29,6,9,3,7
Fedora Repository RDF Transformations Module,org.fcrepo.transform.transformations,LDPathTransform.new Comparator() {...},0,9,0,0,0,2,0,2,0,2
