GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora Repository Authorization Commons Module,org.fcrepo.auth.common,HttpHeaderPrincipalProvider,81,0,12,0,22,0,10,0,4,0
Fedora Repository Authorization Commons Module,org.fcrepo.auth.common,FedoraUserSecurityContext,41,72,13,11,10,22,12,8,2,6
Fedora Repository Authorization Commons Module,org.fcrepo.auth.common,BypassSecurityServletAuthenticationProvider,15,0,2,0,5,0,3,0,2,0
Fedora Repository Authorization Commons Module,org.fcrepo.auth.common,ContainerRolesPrincipalProvider.ContainerRolesPrincipal,33,0,4,0,11,0,7,0,5,0
Fedora Repository Authorization Commons Module,org.fcrepo.auth.common,ContainerRolesPrincipalProvider,79,0,10,0,26,0,9,0,4,0
Fedora Repository Authorization Commons Module,org.fcrepo.auth.common,FedoraAdminSecurityContext,31,0,2,0,11,0,7,0,6,0
Fedora Repository Authorization Commons Module,org.fcrepo.auth.common,HttpHeaderPrincipalProvider.HttpHeaderPrincipal,33,0,4,0,11,0,7,0,5,0
Fedora Repository Authorization Commons Module,org.fcrepo.auth.common,BypassSecurityServletAuthenticationProvider.AnonymousAdminSecurityContext,14,0,0,0,7,0,5,0,5,0
Fedora Repository Authorization Commons Module,org.fcrepo.auth.common,ServletContainerAuthenticationProvider.new Principal() {...},3,5,0,0,1,2,1,2,1,2
Fedora Repository Authorization Commons Module,org.fcrepo.auth.common,ServletContainerAuthenticationProvider,43,114,6,8,12,31,7,9,2,7
