GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl,TombstoneImpl,0,29,0,0,0,11,0,4,0,4
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl,TxAwareSession,13,56,3,5,4,13,3,4,0,3
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl,FedoraResourceImpl.new Function() {...},6,21,0,2,2,4,0,3,0,2
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl,FedoraResourceImpl.new Predicate() {...},6,28,2,6,2,6,2,4,0,2
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl,ContainerImpl,4,8,0,0,1,3,1,2,1,2
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl,FedoraResourceImpl.new Converter() {...},9,12,2,2,3,4,2,3,1,2
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl,FedoraBinaryImpl,176,299,13,23,43,75,17,22,6,15
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl,NonRdfSourceDescriptionImpl,6,26,0,0,2,7,0,5,0,5
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl,FedoraResourceImpl,232,504,21,29,72,127,19,40,2,32
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl,TransactionImpl,43,92,8,2,12,34,8,8,3,8
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.services.functions,GetClusterExecutor,12,0,0,0,2,0,2,0,2,0
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.services.functions,GetBinaryKey,5,14,1,1,2,3,1,2,0,2
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.services.functions,GetClusterConfiguration,86,30,7,1,20,9,4,3,0,3
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.utils.impl,DistributedFixityCheck,201,0,20,0,27,0,15,0,5,0
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.utils.impl,CacheEntryFactory,42,58,8,8,10,15,8,5,1,4
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.utils.impl,InfinispanCacheStoreEntry,112,0,6,0,29,0,7,0,4,0
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.utils.impl,LocalBinaryStoreEntry,74,29,12,0,10,8,10,4,4,4
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.utils.impl,FileSystemBinaryStoreEntry,5,23,0,0,2,7,0,2,0,2
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.utils.infinispan,CacheLoaderChunkInputStream,381,0,40,0,85,0,33,0,13,0
Fedora Repository Kernel Implementation,org.modeshape.jcr,IsExternal,2,12,2,2,0,2,2,2,0,2
Fedora Repository Kernel Implementation,org.modeshape.jcr,GetBinaryStore,0,14,0,0,0,4,0,2,0,2
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf,ManagedRdf.new Predicate() {...},10,0,0,0,3,0,2,0,2,0
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf,ManagedRdf.new Predicate() {...},8,0,0,0,2,0,2,0,2,0
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf,JcrRdfTools,209,429,41,39,37,99,30,25,1,14
