GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora Repository Authorization Commons Module,org.fcrepo.auth.common,BypassSecurityServletAuthenticationProvider.AnonymousAdminSecurityContext,14,0,0,0,7,0,5,0,5,0
Fedora Repository Authorization Commons Module,org.fcrepo.auth.common,BypassSecurityServletAuthenticationProvider,15,0,2,0,6,0,3,0,2,0
Fedora Repository Authorization Commons Module,org.fcrepo.auth.common,ServletContainerAuthenticationProvider.new Principal() {...},3,5,0,0,1,2,1,2,1,2
Fedora Repository Authorization Commons Module,org.fcrepo.auth.common,FedoraUserSecurityContext,37,76,13,11,8,25,11,9,1,7
Fedora Repository Authorization Commons Module,org.fcrepo.auth.common,HttpHeaderPrincipalProvider,41,40,7,5,8,14,6,4,0,4
Fedora Repository Authorization Commons Module,org.fcrepo.auth.common,HttpHeaderPrincipalProvider.HttpHeaderPrincipal,33,0,4,0,12,0,7,0,5,0
Fedora Repository Authorization Commons Module,org.fcrepo.auth.common,ContainerRolesPrincipalProvider.ContainerRolesPrincipal,33,0,4,0,11,0,7,0,5,0
Fedora Repository Authorization Commons Module,org.fcrepo.auth.common,FedoraAdminSecurityContext,31,0,2,0,11,0,7,0,6,0
Fedora Repository Authorization Commons Module,org.fcrepo.auth.common,ContainerRolesPrincipalProvider,26,53,4,6,8,18,4,5,0,4
Fedora Repository Authorization Commons Module,org.fcrepo.auth.common,ServletContainerAuthenticationProvider,22,135,4,10,7,42,5,11,1,8
