GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora Repository Kernel Implementation based on Modeshape,org.fcrepo.kernel.modeshape.utils,NodePropertiesTools,113,207,21,13,24,47,16,9,0,8
Fedora Repository Kernel Implementation based on Modeshape,org.fcrepo.kernel.modeshape.utils,FixityResultImpl,52,95,10,8,11,21,10,12,3,10
Fedora Repository Kernel Implementation based on Modeshape,org.fcrepo.kernel.modeshape.utils,FedoraTypesUtils,47,272,14,28,7,44,12,26,1,16
Fedora Repository Kernel Implementation based on Modeshape,org.fcrepo.kernel.modeshape.utils,ProjectedCacheEntry,20,0,0,0,3,0,2,0,2,0
Fedora Repository Kernel Implementation based on Modeshape,org.fcrepo.kernel.modeshape.utils,FixityInputStream,0,13,0,0,0,3,0,2,0,2
Fedora Repository Kernel Implementation based on Modeshape,org.fcrepo.kernel.modeshape.utils,BinaryCacheEntry,3,15,0,0,1,5,1,3,1,3
Fedora Repository Kernel Implementation based on Modeshape,org.fcrepo.kernel.modeshape.utils,JcrPropertyStatementListener,39,228,7,17,6,58,6,13,0,7
Fedora Repository Kernel Implementation based on Modeshape,org.fcrepo.kernel.modeshape.utils,BasicCacheEntry,46,61,6,4,4,13,4,4,0,3
Fedora Repository Kernel Implementation based on Modeshape,org.fcrepo.kernel.modeshape.observer.eventmappings,AllNodeEventsOneEvent,0,55,0,0,0,10,0,4,0,4
Fedora Repository Kernel Implementation based on Modeshape,org.fcrepo.kernel.modeshape.observer.eventmappings,AllNodeEventsOneEvent.FedoraEventIterator,10,97,0,6,3,24,1,7,1,4
Fedora Repository Kernel Implementation based on Modeshape,org.fcrepo.kernel.modeshape.observer.eventmappings,OneToOne,12,0,0,0,2,0,3,0,3,0
Fedora Repository Kernel Implementation based on Modeshape,org.fcrepo.kernel.modeshape.utils.iterators,PersistingRdfStreamConsumer,114,161,11,9,25,43,8,11,1,8
Fedora Repository Kernel Implementation based on Modeshape,org.fcrepo.kernel.modeshape.utils.iterators,RdfAdder,9,28,0,0,2,7,1,3,1,3
Fedora Repository Kernel Implementation based on Modeshape,org.fcrepo.kernel.modeshape.utils.iterators,RdfRemover,27,10,0,0,6,3,2,2,2,2
Fedora Repository Kernel Implementation based on Modeshape,org.fcrepo.kernel.modeshape.services,ContainerServiceImpl,56,48,4,4,11,14,6,5,3,4
Fedora Repository Kernel Implementation based on Modeshape,org.fcrepo.kernel.modeshape.services,NodeServiceImpl,114,27,4,0,33,7,9,4,7,4
Fedora Repository Kernel Implementation based on Modeshape,org.fcrepo.kernel.modeshape.services,ServiceHelpers,161,43,14,2,36,16,13,3,6,2
Fedora Repository Kernel Implementation based on Modeshape,org.fcrepo.kernel.modeshape.services,BinaryServiceImpl,41,64,4,6,9,19,5,7,1,6
Fedora Repository Kernel Implementation based on Modeshape,org.fcrepo.kernel.modeshape.services,AbstractService,28,48,1,7,7,13,3,7,2,4
Fedora Repository Kernel Implementation based on Modeshape,org.fcrepo.kernel.modeshape.services,RepositoryServiceImpl,59,60,6,2,9,16,5,5,1,5
Fedora Repository Kernel Implementation based on Modeshape,org.fcrepo.kernel.modeshape.services,ExternalContentServiceImpl,24,3,0,0,7,1,3,1,3,1
Fedora Repository Kernel Implementation based on Modeshape,org.fcrepo.kernel.modeshape.services,TransactionServiceImpl,114,122,5,7,17,35,8,13,3,12
Fedora Repository Kernel Implementation based on Modeshape,org.fcrepo.kernel.modeshape.services,VersionServiceImpl,59,273,14,26,9,63,13,18,0,11
Fedora Repository Kernel Implementation based on Modeshape,org.fcrepo.kernel.modeshape.identifiers,NamespaceConverter,0,81,0,4,0,19,0,6,0,4
Fedora Repository Kernel Implementation based on Modeshape,org.fcrepo.kernel.modeshape.identifiers,HierarchyConverter,192,0,12,0,45,0,16,0,10,0
Fedora Repository Kernel Implementation based on Modeshape,org.fcrepo.kernel.modeshape.identifiers,NodeResourceConverter,15,35,2,4,3,9,3,5,1,4
Fedora Repository Kernel Implementation based on Modeshape,org.fcrepo.kernel.modeshape.identifiers,HierarchyConverter.new Function() {...},17,0,0,0,2,0,2,0,2,0
Fedora Repository Kernel Implementation based on Modeshape,org.fcrepo.kernel.modeshape.identifiers,HashConverter,42,19,2,2,2,7,2,3,0,3
Fedora Repository Kernel Implementation based on Modeshape,org.fcrepo.kernel.modeshape,FedoraResourceImpl,244,704,24,48,79,168,22,51,2,35
Fedora Repository Kernel Implementation based on Modeshape,org.fcrepo.kernel.modeshape,FedoraBinaryImpl,176,303,13,25,43,75,17,23,6,15
