GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora Repository Kernel Implementation (ModeShape),org.fcrepo.kernel.modeshape.utils,NodePropertiesTools,177,232,21,13,30,53,16,9,0,8
Fedora Repository Kernel Implementation (ModeShape),org.fcrepo.kernel.modeshape.utils,FixityResultImpl,55,92,10,8,12,20,11,11,4,9
Fedora Repository Kernel Implementation (ModeShape),org.fcrepo.kernel.modeshape.utils,BinaryCacheEntry,3,15,0,0,1,5,1,3,1,3
Fedora Repository Kernel Implementation (ModeShape),org.fcrepo.kernel.modeshape.utils,JcrPropertyStatementListener,39,228,7,17,6,58,6,13,0,7
Fedora Repository Kernel Implementation (ModeShape),org.fcrepo.kernel.modeshape.utils,FedoraTypesUtils,54,319,14,24,9,48,11,25,1,16
Fedora Repository Kernel Implementation (ModeShape),org.fcrepo.kernel.modeshape.utils,ProjectedCacheEntry,20,0,0,0,3,0,2,0,2,0
Fedora Repository Kernel Implementation (ModeShape),org.fcrepo.kernel.modeshape.utils,BasicCacheEntry,46,61,6,4,4,13,4,4,0,3
Fedora Repository Kernel Implementation (ModeShape),org.fcrepo.kernel.modeshape.utils,NamespaceTools,32,75,3,7,9,12,4,4,1,2
Fedora Repository Kernel Implementation (ModeShape),org.fcrepo.kernel.modeshape.utils,UncheckedFunction,6,6,0,0,2,2,0,2,0,2
Fedora Repository Kernel Implementation (ModeShape),org.fcrepo.kernel.modeshape.utils,FixityInputStream,0,13,0,0,0,3,0,2,0,2
Fedora Repository Kernel Implementation (ModeShape),org.fcrepo.kernel.modeshape.utils,UncheckedPredicate,6,6,0,0,2,2,0,2,0,2
Fedora Repository Kernel Implementation (ModeShape),org.fcrepo.kernel.modeshape.observer.eventmappings,AllNodeEventsOneEvent,0,58,0,0,0,11,0,4,0,4
Fedora Repository Kernel Implementation (ModeShape),org.fcrepo.kernel.modeshape.observer.eventmappings,AllNodeEventsOneEvent.FedoraEventIterator,10,98,0,6,3,24,1,7,1,4
