GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils,StreamUtils,18,35,2,2,1,10,2,3,0,3
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils,FilteringJcrPropertyStatementListener,14,50,2,2,3,14,2,8,0,8
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils,NodePropertiesTools,89,346,12,24,15,73,10,17,0,9
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils,FixityResultImpl,21,154,7,25,3,32,8,22,1,13
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils,BinaryCacheEntry,12,18,0,0,4,6,0,4,0,4
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils,FedoraSessionUserUtil,4,52,1,7,2,12,1,6,0,3
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils,JcrPropertyStatementListener,31,270,6,18,7,64,6,13,0,7
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils,FedoraTypesUtils.IsExposedJCRPropertyPredicate,6,50,0,16,2,7,0,10,0,2
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils,JcrPropertyStatementListener.Operation,0,24,0,0,0,2,0,1,0,1
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils,FedoraTypesUtils,59,601,10,66,15,106,10,60,2,30
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils,ProjectedCacheEntry,6,20,0,0,2,3,0,2,0,2
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils,BasicCacheEntry,26,123,0,6,8,26,0,8,0,5
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils,PropertyChangedListener,0,31,0,4,0,10,0,5,0,3
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils,NamespaceTools,18,152,3,9,6,27,3,8,0,5
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils,ExternalResourceCacheEntry,27,33,0,0,6,7,0,4,0,4
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils,UncheckedFunction,6,6,0,0,2,2,0,2,0,2
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils,FixityInputStream,0,13,0,0,0,3,0,2,0,2
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils,UncheckedPredicate,0,12,0,0,0,4,0,2,0,2
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.observer.eventmappings,AllNodeEventsOneEvent,8,127,2,6,3,24,2,9,0,7
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.observer.eventmappings,OneToOne,0,7,0,0,0,2,0,2,0,2
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils.iterators,RelaxedRdfAdder,8,88,1,3,2,21,1,5,0,4
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils.iterators,RdfAdder,35,60,5,3,6,15,3,6,0,5
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils.iterators,RdfRemover,0,39,0,0,0,10,0,4,0,4
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils.iterators,PersistingRdfStreamConsumer,85,226,7,15,20,52,7,14,1,9
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.services,ContainerServiceImpl,36,83,1,9,5,26,1,12,0,8
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.services,NodeServiceImpl,36,112,0,4,9,30,1,9,1,7
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.services,ServiceHelpers,128,63,14,2,28,22,12,3,5,2
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.services,CredentialsServiceImpl,14,3,2,0,3,1,2,1,1,1
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.services,BinaryServiceImpl,24,152,4,12,8,42,4,15,0,11
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.services,BatchServiceImpl,10,145,1,3,3,33,2,13,1,12
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.services,AbstractService,12,73,0,8,4,19,0,10,0,6
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.services,VersionServiceImpl,226,271,21,11,55,50,18,16,5,13
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.services,RepositoryServiceImpl,36,66,0,0,8,21,2,6,2,6
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.services,ExternalContentServiceImpl,0,27,0,0,0,8,0,4,0,4
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape,RdfJcrLexicon,0,19,0,0,0,9,0,1,0,1
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape,UrlBinary,104,355,12,30,23,80,10,25,0,14
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape,FedoraResourceImpl,464,2078,51,153,105,448,55,158,7,104
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape,FedoraBinaryImpl,40,144,4,14,12,35,7,21,4,15
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape,LocalFileBinary,6,65,1,3,2,19,1,8,0,7
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape,AbstractFedoraBinary,155,238,18,14,49,58,14,23,1,20
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape,ContainerImpl,0,8,0,0,0,3,0,2,0,2
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape,FedoraTimeMapImpl,35,28,0,0,13,6,2,3,2,3
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape,NonRdfSourceDescriptionImpl,35,132,5,7,7,24,5,10,0,9
Fedora Repository HTTP Commons Module/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape,FedoraSessionImpl,50,108,3,5,12,30,4,12,2,10
