GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora Repository Kernel Implementation (ModeShape),org.fcrepo.kernel.modeshape.utils,StreamUtils,18,35,2,2,1,10,2,3,0,3
Fedora Repository Kernel Implementation (ModeShape),org.fcrepo.kernel.modeshape.utils,FilteringJcrPropertyStatementListener,14,50,2,2,3,14,2,8,0,8
Fedora Repository Kernel Implementation (ModeShape),org.fcrepo.kernel.modeshape.utils,NodePropertiesTools,114,321,16,20,22,66,13,14,0,9
Fedora Repository Kernel Implementation (ModeShape),org.fcrepo.kernel.modeshape.utils,FixityResultImpl,99,76,24,8,16,19,20,10,6,8
Fedora Repository Kernel Implementation (ModeShape),org.fcrepo.kernel.modeshape.utils,BinaryCacheEntry,12,18,0,0,4,6,0,4,0,4
Fedora Repository Kernel Implementation (ModeShape),org.fcrepo.kernel.modeshape.utils,FedoraSessionUserUtil,6,50,2,6,2,12,2,5,0,3
Fedora Repository Kernel Implementation (ModeShape),org.fcrepo.kernel.modeshape.utils,JcrPropertyStatementListener,31,270,6,18,7,64,6,13,0,7
Fedora Repository Kernel Implementation (ModeShape),org.fcrepo.kernel.modeshape.utils,FedoraTypesUtils.IsExposedJCRPropertyPredicate,6,50,0,16,2,7,0,10,0,2
Fedora Repository Kernel Implementation (ModeShape),org.fcrepo.kernel.modeshape.utils,JcrPropertyStatementListener.Operation,0,24,0,0,0,2,0,1,0,1
Fedora Repository Kernel Implementation (ModeShape),org.fcrepo.kernel.modeshape.utils,FedoraTypesUtils,100,560,20,56,22,99,17,53,2,30
Fedora Repository Kernel Implementation (ModeShape),org.fcrepo.kernel.modeshape.utils,ProjectedCacheEntry,26,0,0,0,5,0,2,0,2,0
Fedora Repository Kernel Implementation (ModeShape),org.fcrepo.kernel.modeshape.utils,BasicCacheEntry,26,123,0,6,8,26,0,8,0,5
Fedora Repository Kernel Implementation (ModeShape),org.fcrepo.kernel.modeshape.utils,PropertyChangedListener,11,20,2,2,3,7,2,3,1,2
Fedora Repository Kernel Implementation (ModeShape),org.fcrepo.kernel.modeshape.utils,NamespaceTools,41,129,4,8,11,22,4,7,0,5
Fedora Repository Kernel Implementation (ModeShape),org.fcrepo.kernel.modeshape.utils,ExternalResourceCacheEntry,27,33,0,0,6,7,0,4,0,4
Fedora Repository Kernel Implementation (ModeShape),org.fcrepo.kernel.modeshape.utils,UncheckedFunction,6,6,0,0,2,2,0,2,0,2
