GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora Repository HTTP API Module/fcrepo-http-commons,org.fcrepo.http.commons,FedoraApplication.FactoryBinder,0,12,0,0,0,5,0,2,0,2
Fedora Repository HTTP API Module/fcrepo-http-commons,org.fcrepo.http.commons,AbstractResource,2,22,1,1,0,5,1,2,0,2
Fedora Repository HTTP API Module/fcrepo-http-commons,org.fcrepo.http.commons,FedoraApplication,9,33,1,1,1,8,1,2,0,2
Fedora Repository HTTP API Module/fcrepo-http-commons,org.fcrepo.http.commons,FedoraContextLoaderListener,6,12,0,0,3,5,0,3,0,3
Fedora Repository HTTP API Module/fcrepo-http-commons,org.fcrepo.http.commons.domain,Range,0,103,0,12,0,28,0,15,0,9
Fedora Repository HTTP API Module/fcrepo-http-commons,org.fcrepo.http.commons.domain,PreferTag,22,345,8,24,3,61,8,22,0,14
Fedora Repository HTTP API Module/fcrepo-http-commons,org.fcrepo.http.commons.domain,MultiPrefer,0,19,0,0,0,5,0,3,0,3
Fedora Repository HTTP API Module/fcrepo-http-commons,org.fcrepo.http.commons.domain,RDFMediaType,3,109,0,0,1,11,1,2,1,2
Fedora Repository HTTP API Module/fcrepo-http-commons,org.fcrepo.http.commons.domain,SinglePrefer,0,74,0,0,0,15,0,8,0,8
Fedora Repository HTTP API Module/fcrepo-http-commons,org.fcrepo.http.commons.api,HttpHeaderInjector,26,25,0,0,7,7,3,5,3,5
Fedora Repository HTTP API Module/fcrepo-http-commons,org.fcrepo.http.commons.responses,RdfStreamProvider,5,58,2,6,2,16,2,7,0,5
Fedora Repository HTTP API Module/fcrepo-http-commons,org.fcrepo.http.commons.responses,ViewHelpers,64,512,10,34,13,76,17,42,8,29
Fedora Repository HTTP API Module/fcrepo-http-commons,org.fcrepo.http.commons.responses,RdfNamespacedStream,0,19,0,0,0,8,0,2,0,2
Fedora Repository HTTP API Module/fcrepo-http-commons,org.fcrepo.http.commons.responses,SynchonizedStreamRDFWrapper,4,19,0,0,2,10,1,5,1,5
Fedora Repository HTTP API Module/fcrepo-http-commons,org.fcrepo.http.commons.responses,LinkFormatProvider,2,32,0,0,1,8,1,4,1,4
Fedora Repository HTTP API Module/fcrepo-http-commons,org.fcrepo.http.commons.responses,RangeRequestInputStream,0,9,0,0,0,3,0,1,0,1
Fedora Repository HTTP API Module/fcrepo-http-commons,org.fcrepo.http.commons.responses,LinkFormatStream,4,12,0,0,2,5,1,2,1,2
Fedora Repository HTTP API Module/fcrepo-http-commons,org.fcrepo.http.commons.responses,RdfStreamStreamingOutput,35,290,5,21,7,75,7,19,2,11
Fedora Repository HTTP API Module/fcrepo-http-commons,org.fcrepo.http.commons.api.rdf,TripleOrdering,0,52,0,4,0,15,0,4,0,2
