GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora Repository WebAC Authorization Module/fcrepo-auth-common,org.fcrepo.auth.common,DelegateHeaderPrincipalProvider.DelegatedHeaderPrincipal,17,16,3,1,6,6,4,3,2,3
Fedora Repository WebAC Authorization Module/fcrepo-auth-common,org.fcrepo.auth.common,ServletContainerAuthenticatingRealm,0,45,0,2,0,12,0,6,0,5
Fedora Repository WebAC Authorization Module/fcrepo-auth-common,org.fcrepo.auth.common,ServletContainerAuthFilter,2,97,0,6,2,22,2,6,2,3
Fedora Repository WebAC Authorization Module/fcrepo-auth-common,org.fcrepo.auth.common,AbstractPrincipalProvider,8,68,2,4,4,18,4,4,2,3
Fedora Repository WebAC Authorization Module/fcrepo-auth-common,org.fcrepo.auth.common,DelegateHeaderPrincipalProvider,6,33,1,3,1,10,1,4,0,3
Fedora Repository WebAC Authorization Module/fcrepo-auth-common,org.fcrepo.auth.common,HttpHeaderPrincipalProvider,0,106,1,9,0,26,1,10,0,6
Fedora Repository WebAC Authorization Module/fcrepo-auth-common,org.fcrepo.auth.common,HttpHeaderPrincipalProvider.HttpHeaderPrincipal,5,28,1,3,2,10,2,5,1,4
Fedora Repository WebAC Authorization Module/fcrepo-auth-common,org.fcrepo.auth.common,ContainerRolesPrincipalProvider.ContainerRolesPrincipal,5,28,1,3,2,9,2,5,1,4
Fedora Repository WebAC Authorization Module/fcrepo-auth-common,org.fcrepo.auth.common,ContainerAuthToken,0,54,0,2,0,13,0,6,0,5
Fedora Repository WebAC Authorization Module/fcrepo-auth-common,org.fcrepo.auth.common,ContainerRolesPrincipalProvider,0,65,1,7,0,20,1,7,0,4
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.rdf,RdfNamespaceRegistry.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.rdf,DefaultRdfStream,86,63,0,0,10,13,9,7,9,7
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.rdf,LdpTriplePreferences.PreferChoice,0,34,0,0,0,4,0,1,0,1
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.rdf,RdfNamespaceRegistry,0,42,0,2,0,10,0,5,0,4
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.services.functions,ConfigurableHierarchicalSupplier,0,70,1,3,0,17,1,5,0,4
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.observer,EventType,10,87,0,0,3,11,3,2,3,2
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api,TransactionUtils,0,10,0,4,0,1,0,3,0,1
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api,RequiredRdfContext,64,0,0,0,7,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api,RdfLexicon,0,269,2,18,0,108,2,13,0,5
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api,RdfCollectors,6,18,0,0,2,2,1,2,1,2
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.services,VersionService,0,10,0,0,0,3,0,1,0,1
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,InteractionModelViolationException,0,4,0,0,0,2,0,1,0,1
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,TransactionNotFoundException,5,4,0,0,2,2,1,1,1,1
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,OutOfDomainSubjectException,11,0,0,0,2,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,UnsupportedMediaTypeException,0,4,0,0,0,2,0,1,0,1
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,IdentifierConversionException,4,0,0,0,2,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,InvalidPrefixException,4,0,0,0,2,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,PathNotFoundRuntimeException,0,5,0,0,0,2,0,1,0,1
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,ResourceTypeException,0,4,0,0,0,2,0,1,0,1
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,InterruptedRuntimeException,5,0,0,0,2,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,IncorrectTripleSubjectException,4,0,0,0,2,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,MalformedRdfException,0,9,0,0,0,4,0,2,0,2
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,CannotCreateResourceException,0,4,0,0,0,2,0,1,0,1
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,ItemExistsException,4,0,0,0,2,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,InvalidACLException,4,0,0,0,2,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,RepositoryVersionRuntimeException,4,0,0,0,2,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,ExternalMessageBodyException,0,9,0,0,0,4,0,2,0,2
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,ItemNotFoundException,5,4,0,0,2,2,1,1,1,1
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,TransactionRuntimeException,5,4,0,0,2,2,1,1,1,1
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,ConstraintViolationException,0,9,0,0,0,4,0,2,0,2
