GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora Repository Search Impl/fcrepo-search-api,org.fcrepo.search.api,PaginationInfo,36,0,0,0,11,0,5,0,5,0
Fedora Repository Search Impl/fcrepo-search-api,org.fcrepo.search.api,Condition.Operator,99,0,4,0,14,0,6,0,4,0
Fedora Repository Search Impl/fcrepo-search-api,org.fcrepo.search.api,Condition,73,0,2,0,18,0,9,0,8,0
Fedora Repository Search Impl/fcrepo-search-api,org.fcrepo.search.api,Condition.Field,72,0,0,0,9,0,3,0,3,0
Fedora Repository Search Impl/fcrepo-search-api,org.fcrepo.search.api,SearchParameters,81,0,0,0,22,0,8,0,8,0
Fedora Repository Search Impl/fcrepo-search-api,org.fcrepo.search.api,SearchResult,26,0,0,0,9,0,4,0,4,0
Fedora Repository Search Impl/fcrepo-search-api,org.fcrepo.search.api,InvalidConditionExpressionException,4,0,0,0,2,0,1,0,1,0
Fedora Repository Search Impl/fcrepo-search-api,org.fcrepo.search.api,InvalidQueryException,4,0,0,0,2,0,1,0,1,0
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.models,FedoraResourceImpl,135,365,15,25,32,100,21,46,9,38
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.models,ContainerImpl,2,52,1,1,1,13,2,4,1,4
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.models,TimeMapImpl,29,164,2,2,8,42,3,14,1,14
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.models,BinaryImpl,74,91,7,3,15,30,8,16,3,16
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.models,ResourceFactoryImpl,53,318,5,23,12,65,5,23,1,13
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.models,NonRdfSourceDescriptionImpl,71,12,2,0,14,3,6,2,5,2
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.models,WebacAclImpl,36,0,0,0,8,0,4,0,4,0
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.models,ResourceHelperImpl,18,67,4,8,5,16,3,8,0,5
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.models,TombstoneImpl,4,17,0,0,2,5,2,3,2,3
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl,ContainmentIndexImpl.ContainmentIterator,0,81,0,2,0,18,0,3,0,2
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl,TransactionManagerImpl,19,161,1,21,5,44,2,22,1,12
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl,ContainmentIndexImpl,29,867,10,62,7,185,10,50,0,24
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl,TransactionImpl,38,372,8,18,12,111,11,42,5,35
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl,ContainmentIndexMetrics,510,0,0,0,59,0,32,0,32,0
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.observer,EventAccumulatorImpl,6,128,0,2,2,38,0,9,0,8
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.observer,ResourceOperationEventBuilder,73,135,8,8,12,32,9,9,1,7
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.observer,EventImpl,23,81,0,0,2,21,2,10,2,10
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.lock,InMemoryResourceLockManager,0,153,1,11,0,37,1,14,0,9
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.util,UserUtil,9,43,4,4,3,11,4,3,0,3
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.services,VersionServiceImpl,15,68,0,4,3,20,0,6,0,4
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.services,MembershipIndexManager,88,525,4,12,19,111,6,23,3,18
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.services,ReferenceServiceImpl,135,458,12,20,25,96,14,28,2,24
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.services,ReplaceBinariesServiceImpl,0,132,1,13,0,40,1,9,0,3
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.services,FixityServiceImpl,172,0,0,0,38,0,6,0,6,0
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.services,AbstractDeleteResourceService,53,119,2,10,8,28,2,9,0,5
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.services,WebacAclServiceImpl,89,0,0,0,22,0,3,0,3,0
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.services,ReplacePropertiesServiceImpl,14,85,0,2,2,23,0,3,0,2
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.services,ResourceTripleServiceImpl,83,0,12,0,15,0,8,0,2,0
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.services,ContainmentTriplesServiceImpl,3,42,1,3,0,7,1,5,0,4
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.services,DeleteResourceServiceImpl,0,69,0,0,0,16,0,4,0,4
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.services,CreateResourceServiceImpl,139,318,12,20,22,91,13,13,3,7
