GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora Repository Deployable Web Application/fcrepo-jms,org.fcrepo.jms,JMSQueuePublisher,0,16,0,0,0,6,0,3,0,3
Fedora Repository Deployable Web Application/fcrepo-jms,org.fcrepo.jms,JMSTopicPublisher,0,16,0,0,0,6,0,3,0,3
Fedora Repository Deployable Web Application/fcrepo-jms,org.fcrepo.jms,AbstractJMSPublisher,0,84,0,0,0,22,0,5,0,5
Fedora Repository Deployable Web Application/fcrepo-jms,org.fcrepo.jms,DefaultMessageFactory,0,87,0,2,0,21,0,5,0,4
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api.services,EtagService,0,123,0,8,0,27,0,8,0,4
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api.services,SparqlTranslateVisitor,28,355,5,19,10,88,4,27,0,19
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api.services,HttpRdfService,29,305,6,34,6,73,4,26,0,10
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api.url,HttpApiResources,0,63,0,6,0,15,0,7,0,4
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api,FedoraHttpConfiguration,0,6,0,0,0,2,0,2,0,2
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api,FedoraBaseResource,0,80,0,6,0,16,0,11,0,8
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api,FedoraLdp,85,1285,19,155,19,265,18,94,0,25
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api,ContentExposingResource,104,1427,33,167,25,317,26,120,2,44
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api,FedoraReindex,0,94,0,2,0,22,0,8,0,7
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api,ExternalContentPathValidator,20,279,5,37,4,56,5,25,0,9
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api,FedoraVersioning,33,283,2,12,8,57,3,15,1,10
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api,Transactions,0,214,0,0,0,71,0,7,0,7
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api,FedoraAcl,83,409,10,20,18,91,10,13,0,8
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api,ExternalContentHandlerFactory,14,86,3,7,3,25,3,8,0,6
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api,FedoraTombstones,16,79,0,2,4,21,2,10,2,9
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api,FedoraSearch,21,218,2,24,6,50,2,18,0,7
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api,ExternalContentHandler,37,230,8,24,8,61,8,21,2,11
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api,FedoraFixity,21,97,1,1,5,20,3,10,2,10
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api.responses,SearchResultProvider,133,66,2,0,27,18,7,4,6,4
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api.responses,StreamingBaseHtmlProvider,53,517,18,24,7,98,19,19,2,15
Fedora Repository Deployable Web Application/fcrepo-kernel-impl,org.fcrepo.kernel.impl.models,FedoraResourceImpl,47,453,5,35,12,120,7,60,2,45
Fedora Repository Deployable Web Application/fcrepo-kernel-impl,org.fcrepo.kernel.impl.models,ContainerImpl,0,54,1,1,0,14,1,5,0,5
Fedora Repository Deployable Web Application/fcrepo-kernel-impl,org.fcrepo.kernel.impl.models,TimeMapImpl,25,168,1,3,6,44,1,16,0,15
Fedora Repository Deployable Web Application/fcrepo-kernel-impl,org.fcrepo.kernel.impl.models,BinaryImpl,29,136,2,8,8,37,2,22,0,19
Fedora Repository Deployable Web Application/fcrepo-kernel-impl,org.fcrepo.kernel.impl.models,ResourceFactoryImpl,18,353,0,28,6,71,0,28,0,14
Fedora Repository Deployable Web Application/fcrepo-kernel-impl,org.fcrepo.kernel.impl.models,NonRdfSourceDescriptionImpl,8,75,1,1,2,15,1,7,0,7
Fedora Repository Deployable Web Application/fcrepo-kernel-impl,org.fcrepo.kernel.impl.models,WebacAclImpl,8,28,0,0,2,6,0,4,0,4
Fedora Repository Deployable Web Application/fcrepo-kernel-impl,org.fcrepo.kernel.impl.models,ResourceHelperImpl,0,85,0,12,0,21,0,11,0,5
Fedora Repository Deployable Web Application/fcrepo-kernel-impl,org.fcrepo.kernel.impl.models,TombstoneImpl,0,21,0,0,0,7,0,5,0,5
Fedora Repository Deployable Web Application/fcrepo-kernel-impl,org.fcrepo.kernel.impl,ContainmentIndexImpl.ContainmentIterator,0,81,0,2,0,18,0,3,0,2
Fedora Repository Deployable Web Application/fcrepo-kernel-impl,org.fcrepo.kernel.impl,TransactionManagerImpl,11,169,1,21,3,46,1,23,0,13
Fedora Repository Deployable Web Application/fcrepo-kernel-impl,org.fcrepo.kernel.impl,ContainmentIndexImpl,26,870,8,64,6,186,8,52,0,24
Fedora Repository Deployable Web Application/fcrepo-kernel-impl,org.fcrepo.kernel.impl,TransactionImpl,7,403,4,22,1,122,4,49,0,40
Fedora Repository Deployable Web Application/fcrepo-kernel-impl,org.fcrepo.kernel.impl,ContainmentIndexMetrics,15,495,0,0,4,55,2,30,2,30
