GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.api,FedoraOcflMappingNotFoundException,4,4,0,0,2,2,1,1,1,1
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl,RepositoryInitializer,111,0,2,0,34,0,6,0,5,0
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl,RepositoryInitializationFilter,30,0,6,0,9,0,5,0,2,0
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,UpdateNonRdfSourceHeadersPersister,85,10,12,0,27,3,7,2,1,2
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,ReindexResourcePersister,34,10,4,0,8,4,4,2,2,2
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,OcflPersistentStorageSession.State,0,122,0,0,0,14,0,2,0,2
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,FedoraToOcflObjectIndexMetrics,33,173,0,0,12,16,6,7,6,7
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,UpdateNonRdfSourcePersister,15,48,3,1,4,12,2,3,0,3
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,DbFedoraToOcflObjectIndex,161,279,11,7,37,56,13,13,6,11
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,OcflPersistentStorageUtils,64,114,4,4,19,35,7,12,4,11
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,CreateRdfSourcePersister,5,76,1,3,1,17,1,4,0,3
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,UpdateRdfSourcePersister,29,10,0,0,7,3,1,2,1,2
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,FedoraOcflMapping,50,15,10,0,9,6,8,3,3,3
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,OcflPersistentStorageSessionMetrics,30,177,0,0,5,25,5,11,5,11
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,ReindexWorker,165,0,12,0,56,0,13,0,7,0
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,IndexBuilderImpl,167,7,12,0,36,2,12,2,6,2
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,CreateVersionPersister,71,10,4,0,14,3,3,2,1,2
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,OcflPersistenceConfig,136,82,14,4,30,20,10,7,2,6
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,AbstractRdfSourcePersister,44,105,5,7,8,28,5,7,0,6
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,OcflPersistentSessionManager,5,89,2,4,1,19,2,7,0,6
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,OcflPersistentStorageSession,350,481,23,19,72,112,27,23,8,21
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,CreateNonRdfSourcePersister,0,62,0,0,0,12,0,3,0,3
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,AbstractNonRdfSourcePersister,23,111,5,9,5,33,4,8,0,5
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,PurgeResourcePersister,48,10,0,0,10,3,1,2,1,2
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,ResourceHeadersAdapter,315,324,8,8,90,63,49,7,43,5
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,ReindexService,391,10,24,0,95,3,26,2,14,2
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,FcrepoOcflObjectSessionWrapper,153,294,0,0,33,41,21,27,21,27
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,ReindexManager,352,0,20,0,81,0,24,0,14,0
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,DeleteResourcePersister,20,67,1,3,4,18,1,4,0,3
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,AbstractPersister,16,148,2,10,4,39,2,10,0,6
