GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora Repository Deployable Web Application/fcrepo-jms,org.fcrepo.jms,JMSQueuePublisher,0,16,0,0,0,6,0,3,0,3
Fedora Repository Deployable Web Application/fcrepo-jms,org.fcrepo.jms,JMSTopicPublisher,0,16,0,0,0,6,0,3,0,3
Fedora Repository Deployable Web Application/fcrepo-jms,org.fcrepo.jms,AbstractJMSPublisher,0,84,0,0,0,22,0,5,0,5
Fedora Repository Deployable Web Application/fcrepo-jms,org.fcrepo.jms,DefaultMessageFactory,0,87,0,2,0,21,0,5,0,4
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api.services,EtagService,0,123,0,8,0,27,0,8,0,4
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api.services,SparqlTranslateVisitor,28,373,5,23,10,92,4,29,0,19
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api.services,HttpRdfService,24,336,4,40,6,78,3,30,0,11
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api.url,HttpApiResources,0,63,0,6,0,15,0,7,0,4
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api,FedoraHttpConfiguration,0,6,0,0,0,2,0,2,0,2
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api,FedoraBaseResource,0,104,0,6,0,28,0,13,0,10
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api,FedoraLdp,98,1591,24,186,21,324,24,119,1,37
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api,ContentExposingResource,110,1504,32,176,27,334,25,128,2,47
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api,FedoraReindex,0,89,0,0,0,21,0,8,0,8
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api,FedoraRepositoryStats,0,120,0,10,0,28,0,11,0,6
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api,ExternalContentPathValidator,20,279,5,37,4,56,5,25,0,9
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api,FedoraVersioning,33,290,2,12,8,59,3,16,1,11
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api,Transactions,0,214,0,0,0,71,0,7,0,7
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api,FedoraAcl,66,456,8,22,16,100,8,18,0,11
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api,ExternalContentHandlerFactory,14,86,3,7,3,25,3,8,0,6
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api,FedoraTombstones,16,85,0,2,4,23,2,11,2,10
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api,FedoraSearch,21,225,2,26,6,52,2,19,0,7
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api,ExternalContentHandler,37,236,7,25,9,60,8,21,2,11
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api,FedoraFixity,21,97,1,1,5,20,3,10,2,10
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api.responses,SearchResultProvider,133,66,2,0,27,18,7,4,6,4
Fedora Repository Deployable Web Application/fcrepo-http-api,org.fcrepo.http.api.responses,StreamingBaseHtmlProvider,43,524,15,21,6,95,17,19,2,16
Fedora Repository Deployable Web Application/fcrepo-auth-common,org.fcrepo.auth.common,DelegateHeaderPrincipalProvider.DelegatedHeaderPrincipal,17,16,3,1,6,6,4,3,2,3
Fedora Repository Deployable Web Application/fcrepo-auth-common,org.fcrepo.auth.common,ServletContainerAuthenticatingRealm,0,45,0,2,0,12,0,6,0,5
Fedora Repository Deployable Web Application/fcrepo-auth-common,org.fcrepo.auth.common,ServletContainerAuthFilter,2,97,0,6,2,22,2,6,2,3
Fedora Repository Deployable Web Application/fcrepo-auth-common,org.fcrepo.auth.common,AbstractPrincipalProvider,8,68,2,4,4,18,4,4,2,3
Fedora Repository Deployable Web Application/fcrepo-auth-common,org.fcrepo.auth.common,DelegateHeaderPrincipalProvider,6,33,1,3,1,10,1,4,0,3
Fedora Repository Deployable Web Application/fcrepo-auth-common,org.fcrepo.auth.common,HttpHeaderPrincipalProvider,0,106,1,9,0,26,1,10,0,6
Fedora Repository Deployable Web Application/fcrepo-auth-common,org.fcrepo.auth.common,HttpHeaderPrincipalProvider.HttpHeaderPrincipal,5,28,1,3,2,10,2,5,1,4
Fedora Repository Deployable Web Application/fcrepo-auth-common,org.fcrepo.auth.common,ContainerRolesPrincipalProvider.ContainerRolesPrincipal,5,28,1,3,2,9,2,5,1,4
Fedora Repository Deployable Web Application/fcrepo-auth-common,org.fcrepo.auth.common,ContainerAuthToken,0,54,0,2,0,13,0,6,0,5
Fedora Repository Deployable Web Application/fcrepo-auth-common,org.fcrepo.auth.common,ContainerRolesPrincipalProvider,0,65,1,7,0,20,1,7,0,4
Fedora Repository Deployable Web Application/fcrepo-auth-webac,org.fcrepo.auth.webac,WebACAuthorizingRealm,20,401,7,33,6,92,8,23,1,10
Fedora Repository Deployable Web Application/fcrepo-auth-webac,org.fcrepo.auth.webac,WebACFilter.new Principal() {...},3,5,0,0,1,2,1,2,1,2
Fedora Repository Deployable Web Application/fcrepo-auth-webac,org.fcrepo.auth.webac,WebACPermission,14,69,3,7,2,15,4,8,1,6
