GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora Repository Search Impl/fcrepo-search-api,org.fcrepo.search.api,PaginationInfo,36,0,0,0,11,0,5,0,5,0
Fedora Repository Search Impl/fcrepo-search-api,org.fcrepo.search.api,Condition.Operator,99,0,4,0,14,0,6,0,4,0
Fedora Repository Search Impl/fcrepo-search-api,org.fcrepo.search.api,Condition,73,0,2,0,18,0,9,0,8,0
Fedora Repository Search Impl/fcrepo-search-api,org.fcrepo.search.api,Condition.Field,97,0,4,0,12,0,5,0,3,0
Fedora Repository Search Impl/fcrepo-search-api,org.fcrepo.search.api,SearchParameters,93,0,0,0,25,0,9,0,9,0
Fedora Repository Search Impl/fcrepo-search-api,org.fcrepo.search.api,SearchResult,26,0,0,0,9,0,4,0,4,0
Fedora Repository Search Impl/fcrepo-search-api,org.fcrepo.search.api,InvalidConditionExpressionException,4,0,0,0,2,0,1,0,1,0
Fedora Repository Search Impl/fcrepo-search-api,org.fcrepo.search.api,InvalidQueryException,4,0,0,0,2,0,1,0,1,0
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.models,FedoraResourceImpl,537,0,44,0,141,0,73,0,51,0
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.models,ContainerImpl,55,0,2,0,14,0,6,0,5,0
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.models,TimeMapImpl,197,0,4,0,51,0,18,0,16,0
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.models,BinaryImpl,169,0,10,0,45,0,24,0,19,0
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.models,ResourceFactoryImpl,368,0,30,0,75,0,26,0,11,0
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.models,NonRdfSourceDescriptionImpl,97,0,6,0,21,0,10,0,7,0
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.models,WebacAclImpl,37,0,0,0,8,0,4,0,4,0
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.models,ResourceHelperImpl,85,0,14,0,20,0,12,0,5,0
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.models,TombstoneImpl,22,0,0,0,7,0,5,0,5,0
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl,ContainmentIndexImpl.ContainmentIterator,81,0,2,0,18,0,3,0,2,0
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl,TransactionManagerImpl,178,0,22,0,49,0,25,0,14,0
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl,ContainmentIndexImpl,1242,0,90,0,253,0,80,0,35,0
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl,TransactionImpl,718,0,58,0,188,0,85,0,56,0
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl,ContainmentIndexMetrics,510,0,0,0,59,0,32,0,32,0
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.observer,EventAccumulatorImpl,143,0,2,0,41,0,9,0,8,0
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.observer,ResourceOperationEventBuilder,208,0,16,0,44,0,18,0,8,0
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.observer,EventImpl,104,0,0,0,23,0,12,0,12,0
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.lock,InMemoryResourceLockManager,239,0,20,0,52,0,24,0,14,0
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.lock,ResourceLockImpl,116,0,14,0,21,0,18,0,11,0
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.util,UserUtil,52,0,8,0,14,0,7,0,3,0
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.services,VersionServiceImpl,82,0,4,0,23,0,6,0,4,0
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.services,MembershipIndexManager,806,0,38,0,184,0,45,0,26,0
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.services,ReferenceServiceImpl,680,0,40,0,140,0,48,0,28,0
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.services,ReplaceBinariesServiceImpl,139,0,14,0,40,0,10,0,3,0
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.services,FixityServiceImpl,172,0,0,0,38,0,6,0,6,0
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.services,AbstractDeleteResourceService,178,0,12,0,39,0,11,0,5,0
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.services,ReplacePropertiesServiceImpl.BinaryHeaderDetails,14,0,0,0,6,0,4,0,4,0
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.services,WebacAclServiceImpl,91,0,0,0,24,0,3,0,3,0
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.services,ReplacePropertiesServiceImpl,268,0,16,0,65,0,13,0,5,0
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.services,ResourceTripleServiceImpl,81,0,12,0,15,0,8,0,2,0
Fedora Repository Search Impl/fcrepo-kernel-impl,org.fcrepo.kernel.impl.services,ContainmentTriplesServiceImpl,36,0,2,0,6,0,4,0,3,0
