GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora Repository Statistics API/fcrepo-kernel-api,org.fcrepo.kernel.api.rdf,DefaultRdfStream,149,0,0,0,23,0,16,0,16,0
Fedora Repository Statistics API/fcrepo-kernel-api,org.fcrepo.kernel.api.rdf,RdfNamespaceRegistry,42,0,2,0,10,0,5,0,4,0
Fedora Repository Statistics API/fcrepo-kernel-api,org.fcrepo.kernel.api.rdf,RdfNamespaceRegistry.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
Fedora Repository Statistics API/fcrepo-kernel-api,org.fcrepo.kernel.api.rdf,LdpTriplePreferences.PreferChoice,34,0,0,0,4,0,1,0,1,0
Fedora Repository Statistics API/fcrepo-kernel-api,org.fcrepo.kernel.api.services.functions,ConfigurableHierarchicalSupplier,70,0,4,0,17,0,6,0,4,0
Fedora Repository Statistics API/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,InteractionModelViolationException,4,0,0,0,2,0,1,0,1,0
Fedora Repository Statistics API/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,UnsupportedMediaTypeException,4,0,0,0,2,0,1,0,1,0
Fedora Repository Statistics API/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,IdentifierConversionException,4,0,0,0,2,0,1,0,1,0
Fedora Repository Statistics API/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,PathNotFoundRuntimeException,9,0,0,0,4,0,2,0,2,0
Fedora Repository Statistics API/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,ResourceTypeException,4,0,0,0,2,0,1,0,1,0
Fedora Repository Statistics API/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,IncorrectTripleSubjectException,4,0,0,0,2,0,1,0,1,0
Fedora Repository Statistics API/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,MalformedRdfException,9,0,0,0,4,0,2,0,2,0
Fedora Repository Statistics API/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,InvalidACLException,4,0,0,0,2,0,1,0,1,0
Fedora Repository Statistics API/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,RepositoryVersionRuntimeException,4,0,0,0,2,0,1,0,1,0
Fedora Repository Statistics API/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,ExternalMessageBodyException,9,0,0,0,4,0,2,0,2,0
Fedora Repository Statistics API/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,CannotCreateMementoException,4,0,0,0,2,0,1,0,1,0
Fedora Repository Statistics API/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,NoSuchPropertyDefinitionException,4,0,0,0,2,0,1,0,1,0
Fedora Repository Statistics API/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,PreconditionException,22,0,4,0,6,0,4,0,2,0
Fedora Repository Statistics API/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,PathNotFoundException,9,0,0,0,4,0,2,0,2,0
Fedora Repository Statistics API/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,ServerManagedTypeException,4,0,0,0,2,0,1,0,1,0
Fedora Repository Statistics API/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,SessionMissingException,4,0,0,0,2,0,1,0,1,0
Fedora Repository Statistics API/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,RepositoryRuntimeException,9,0,0,0,4,0,2,0,2,0
Fedora Repository Statistics API/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,ExternalContentAccessException,5,0,0,0,2,0,1,0,1,0
Fedora Repository Statistics API/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,ConcurrentUpdateException,4,0,0,0,2,0,1,0,1,0
Fedora Repository Statistics API/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,TombstoneException,34,0,2,0,9,0,5,0,4,0
Fedora Repository Statistics API/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,TransactionClosedException,9,0,0,0,4,0,2,0,2,0
Fedora Repository Statistics API/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,FedoraInvalidNamespaceException,9,0,0,0,4,0,2,0,2,0
Fedora Repository Statistics API/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,RelaxableServerManagedPropertyException,4,0,0,0,2,0,1,0,1,0
Fedora Repository Statistics API/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,TransactionNotFoundException,9,0,0,0,4,0,2,0,2,0
Fedora Repository Statistics API/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,OutOfDomainSubjectException,11,0,0,0,2,0,1,0,1,0
Fedora Repository Statistics API/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,InvalidPrefixException,4,0,0,0,2,0,1,0,1,0
Fedora Repository Statistics API/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,InterruptedRuntimeException,5,0,0,0,2,0,1,0,1,0
Fedora Repository Statistics API/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,CannotCreateResourceException,4,0,0,0,2,0,1,0,1,0
